Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: SST train loss :: 82.302
Epoch 0: Paraphrase train loss :: 34.030
Epoch 0: STS train loss :: 207.218
Epoch 0: Paraphrase train loss :: 34.714
Epoch 0: SST train loss :: 83.871
Epoch 0: STS train loss :: 208.352
Epoch 0: Paraphrase train loss :: 35.649
Epoch 0: STS train loss :: 209.916
Epoch 0: SST train loss :: 85.471
Epoch 0: STS train loss :: 212.278
Epoch 0: Paraphrase train loss :: 36.281
Epoch 0: SST train loss :: 87.069
Epoch 0: Paraphrase train loss :: 37.188
Epoch 0: SST train loss :: 88.709
Epoch 0: STS train loss :: 214.442
Epoch 0: SST train loss :: 90.093
Epoch 0: STS train loss :: 216.085
Epoch 0: Paraphrase train loss :: 37.862
Epoch 0: SST train loss :: 91.638
Epoch 0: STS train loss :: 217.523
Epoch 0: Paraphrase train loss :: 38.480
Epoch 0: STS train loss :: 221.035
Epoch 0: Paraphrase train loss :: 39.007
Epoch 0: SST train loss :: 93.372
Epoch 0: STS train loss :: 224.982
Epoch 0: SST train loss :: 94.900
Epoch 0: Paraphrase train loss :: 39.585
Epoch 0: STS train loss :: 227.025
Epoch 0: Paraphrase train loss :: 40.044
Epoch 0: SST train loss :: 96.533
Epoch 0: STS train loss :: 229.394
Epoch 0: SST train loss :: 98.152
Epoch 0: Paraphrase train loss :: 40.701
Epoch 0: STS train loss :: 232.152
Epoch 0: SST train loss :: 99.873
Epoch 0: Paraphrase train loss :: 41.481
Epoch 0: Paraphrase train loss :: 42.172
Epoch 0: STS train loss :: 234.935
Epoch 0: SST train loss :: 101.348
Epoch 0: Paraphrase train loss :: 43.010
Epoch 0: STS train loss :: 236.317
Epoch 0: SST train loss :: 103.013
Epoch 0: SST train loss :: 104.421
Epoch 0: Paraphrase train loss :: 43.650
Epoch 0: STS train loss :: 243.395
Epoch 0: STS train loss :: 245.305
Epoch 0: SST train loss :: 106.038
Epoch 0: Paraphrase train loss :: 44.473
Epoch 0: STS train loss :: 249.707
Epoch 0: Paraphrase train loss :: 45.153
Epoch 0: SST train loss :: 107.738
Epoch 0: SST train loss :: 109.578
Epoch 0: Paraphrase train loss :: 45.861
Epoch 0: STS train loss :: 253.513
Epoch 0: SST train loss :: 111.296
Epoch 0: Paraphrase train loss :: 46.322
Epoch 0: STS train loss :: 254.725
Epoch 0: STS train loss :: 257.875
Epoch 0: SST train loss :: 113.015
Epoch 0: Paraphrase train loss :: 46.965
Epoch 0: Paraphrase train loss :: 47.719
Epoch 0: STS train loss :: 260.156
Epoch 0: SST train loss :: 114.612
Epoch 0: STS train loss :: 264.311
Epoch 0: Paraphrase train loss :: 48.368
Epoch 0: SST train loss :: 116.225
Epoch 0: Paraphrase train loss :: 48.897
Epoch 0: SST train loss :: 117.884
Epoch 0: STS train loss :: 270.087
Epoch 0: Paraphrase train loss :: 49.446
Epoch 0: STS train loss :: 275.084
Epoch 0: SST train loss :: 119.540
Epoch 0: STS train loss :: 278.587
Epoch 0: Paraphrase train loss :: 50.053
Epoch 0: SST train loss :: 121.157
Epoch 0: Paraphrase train loss :: 50.531
Epoch 0: STS train loss :: 281.191
Epoch 0: SST train loss :: 122.803
Epoch 0: SST train loss :: 124.400
Epoch 0: Paraphrase train loss :: 51.138
Epoch 0: STS train loss :: 283.069
Epoch 0: SST train loss :: 126.008
Epoch 0: Paraphrase train loss :: 51.875
Epoch 0: STS train loss :: 286.495
Epoch 0: SST train loss :: 127.783
Epoch 0: Paraphrase train loss :: 52.537
Epoch 0: STS train loss :: 288.480
Epoch 0: STS train loss :: 290.014
Epoch 0: SST train loss :: 129.423
Epoch 0: Paraphrase train loss :: 53.183
Epoch 0: Paraphrase train loss :: 53.753
Epoch 0: STS train loss :: 294.957
Epoch 0: SST train loss :: 130.957
Epoch 0: Paraphrase train loss :: 54.660
Epoch 0: STS train loss :: 298.843
Epoch 0: SST train loss :: 132.484
Epoch 0: SST train loss :: 133.961
Epoch 0: STS train loss :: 300.666
Epoch 0: Paraphrase train loss :: 55.197
Epoch 0: Paraphrase train loss :: 55.776
Epoch 0: SST train loss :: 135.662
Epoch 0: STS train loss :: 306.892
Epoch 0: STS train loss :: 310.654
Epoch 0: SST train loss :: 137.315
Epoch 0: Paraphrase train loss :: 56.536
Epoch 0: Paraphrase train loss :: 57.196
Epoch 0: SST train loss :: 138.827
Epoch 0: STS train loss :: 314.253
Epoch 0: Paraphrase train loss :: 57.930
Epoch 0: STS train loss :: 318.757
Epoch 0: SST train loss :: 140.535
Epoch 0: Paraphrase train loss :: 58.631
Epoch 0: STS train loss :: 321.316
Epoch 0: SST train loss :: 142.258
Epoch 0: STS train loss :: 323.375
Epoch 0: SST train loss :: 143.860
Epoch 0: Paraphrase train loss :: 59.317
Epoch 0: STS train loss :: 327.195
Epoch 0: Paraphrase train loss :: 60.037
Epoch 0: SST train loss :: 145.447
Epoch 0: Paraphrase train loss :: 60.771
Epoch 0: SST train loss :: 147.171
Epoch 0: STS train loss :: 329.387
Epoch 0: SST train loss :: 148.969
Epoch 0: Paraphrase train loss :: 61.585
Epoch 0: STS train loss :: 332.983
Epoch 0: STS train loss :: 334.087
Epoch 0: SST train loss :: 150.674
Epoch 0: Paraphrase train loss :: 62.253
Epoch 0: SST train loss :: 152.385
Epoch 0: Paraphrase train loss :: 62.956
Epoch 0: STS train loss :: 337.028
Epoch 0: STS train loss :: 338.825
Epoch 0: SST train loss :: 154.100
Epoch 0: Paraphrase train loss :: 63.544
Epoch 0: Paraphrase train loss :: 64.174
Epoch 0: SST train loss :: 155.773
Epoch 0: STS train loss :: 341.440
Epoch 0: SST train loss :: 157.516
Epoch 0: STS train loss :: 345.512
Epoch 0: Paraphrase train loss :: 64.701
Epoch 0: SST train loss :: 159.271
Epoch 0: STS train loss :: 349.946
Epoch 0: Paraphrase train loss :: 65.131
Epoch 0: STS train loss :: 354.660
Epoch 0: SST train loss :: 160.806
Epoch 0: Paraphrase train loss :: 66.039
Epoch 0: Paraphrase train loss :: 66.745
Epoch 0: SST train loss :: 162.523
Epoch 0: STS train loss :: 358.020
Epoch 0: STS train loss :: 359.478
Epoch 0: Paraphrase train loss :: 67.327
Epoch 0: SST train loss :: 164.005
Epoch 0: STS train loss :: 363.087
Epoch 0: Paraphrase train loss :: 67.871
Epoch 0: SST train loss :: 165.578
Epoch 0: SST train loss :: 167.200
Epoch 0: STS train loss :: 366.146
Epoch 0: Paraphrase train loss :: 68.538
Epoch 0: Paraphrase train loss :: 69.157
Epoch 0: STS train loss :: 368.355
Epoch 0: SST train loss :: 168.820
Epoch 0: STS train loss :: 372.948
Epoch 0: SST train loss :: 170.472
Epoch 0: Paraphrase train loss :: 69.949
Epoch 0: Paraphrase train loss :: 70.600
Epoch 0: STS train loss :: 375.656
Epoch 0: SST train loss :: 172.186
Epoch 0: STS train loss :: 378.117
Epoch 0: SST train loss :: 173.701
Epoch 0: Paraphrase train loss :: 71.190
Epoch 0: STS train loss :: 383.009
Epoch 0: Paraphrase train loss :: 71.903
Epoch 0: SST train loss :: 175.310
Epoch 0: SST train loss :: 176.700
Epoch 0: STS train loss :: 385.433
Epoch 0: Paraphrase train loss :: 72.631
Epoch 0: STS train loss :: 387.649
Epoch 0: Paraphrase train loss :: 73.571
Epoch 0: SST train loss :: 178.281
Epoch 0: STS train loss :: 390.573
Epoch 0: SST train loss :: 179.911
Epoch 0: Paraphrase train loss :: 74.084
Epoch 0: Paraphrase train loss :: 74.769
Epoch 0: STS train loss :: 392.564
Epoch 0: SST train loss :: 181.514
Epoch 0: SST train loss :: 183.204
Epoch 0: STS train loss :: 399.557
Epoch 0: Paraphrase train loss :: 75.466
Epoch 0: STS train loss :: 404.469
Epoch 0: SST train loss :: 184.704
Epoch 0: Paraphrase train loss :: 76.067
Epoch 0: Paraphrase train loss :: 76.736
Epoch 0: SST train loss :: 186.233
Epoch 0: STS train loss :: 405.333
Epoch 0: STS train loss :: 409.226
Epoch 0: SST train loss :: 187.870
Epoch 0: Paraphrase train loss :: 77.362
Epoch 0: SST train loss :: 189.405
Epoch 0: STS train loss :: 413.107
Epoch 0: Paraphrase train loss :: 78.182
Epoch 0: Paraphrase train loss :: 78.838
Epoch 0: STS train loss :: 416.343
Epoch 0: SST train loss :: 190.821
Epoch 0: STS train loss :: 418.330
Epoch 0: SST train loss :: 192.566
Epoch 0: Paraphrase train loss :: 79.451
Epoch 0: STS train loss :: 420.191
Epoch 0: Paraphrase train loss :: 80.044
Epoch 0: SST train loss :: 194.140
Epoch 0: SST train loss :: 195.666
Epoch 0: STS train loss :: 423.814
Epoch 0: Paraphrase train loss :: 80.927
Epoch 0: Paraphrase train loss :: 81.647
Epoch 0: SST train loss :: 197.125
Epoch 0: STS train loss :: 427.821
Epoch 0: Paraphrase train loss :: 82.287
Epoch 0: SST train loss :: 198.971
Epoch 0: STS train loss :: 431.049
Epoch 0: STS train loss :: 434.427
Epoch 0: SST train loss :: 200.415
Epoch 0: Paraphrase train loss :: 82.832
Epoch 0: Paraphrase train loss :: 83.412
Epoch 0: SST train loss :: 202.145
Epoch 0: STS train loss :: 439.915
Epoch 0: Paraphrase train loss :: 84.168
Epoch 0: STS train loss :: 441.615
Epoch 0: SST train loss :: 203.952
Epoch 0: SST train loss :: 205.594
Epoch 0: STS train loss :: 441.946
Epoch 0: Paraphrase train loss :: 84.790
Epoch 0: SST train loss :: 207.176
Epoch 0: Paraphrase train loss :: 85.679
Epoch 0: STS train loss :: 446.738
Epoch 0: STS train loss :: 450.501
Epoch 0: Paraphrase train loss :: 86.424
Epoch 0: SST train loss :: 208.835
Epoch 0: Paraphrase train loss :: 86.965
Epoch 0: SST train loss :: 210.392
Epoch 0: STS train loss :: 454.280
Epoch 0: Paraphrase train loss :: 87.562
Epoch 0: SST train loss :: 211.896
Epoch 0: STS train loss :: 458.116
Epoch 0: STS train loss :: 462.098
