Loaded 8544 train examples from data/ids-sst-train.csv
Loaded 141498 train examples from data/quora-train.csv
Loaded 6040 train examples from data/sts-train.csv
Loaded 1101 train examples from data/ids-sst-dev.csv
Loaded 20212 train examples from data/quora-dev.csv
Loaded 863 train examples from data/sts-dev.csv
Epoch 0: SST train loss :: 646.897
Epoch 0: Paraphrase train loss :: 32.972
Epoch 0: STS train loss :: 257.699
Epoch 0: Paraphrase train loss :: 33.711
Epoch 0: SST train loss :: 661.370
Epoch 0: STS train loss :: 260.771
Epoch 0: Paraphrase train loss :: 34.308
Epoch 0: STS train loss :: 263.105
Epoch 0: SST train loss :: 673.385
Epoch 0: STS train loss :: 267.248
Epoch 0: Paraphrase train loss :: 34.926
Epoch 0: SST train loss :: 686.371
Epoch 0: Paraphrase train loss :: 35.520
Epoch 0: SST train loss :: 697.878
Epoch 0: STS train loss :: 270.105
Epoch 0: SST train loss :: 710.553
Epoch 0: STS train loss :: 272.237
Epoch 0: Paraphrase train loss :: 36.102
Epoch 0: SST train loss :: 723.935
Epoch 0: STS train loss :: 275.080
Epoch 0: Paraphrase train loss :: 36.810
Epoch 0: STS train loss :: 279.227
Epoch 0: Paraphrase train loss :: 37.368
Epoch 0: SST train loss :: 736.259
Epoch 0: STS train loss :: 282.099
Epoch 0: SST train loss :: 751.549
Epoch 0: Paraphrase train loss :: 38.019
Epoch 0: STS train loss :: 287.879
Epoch 0: Paraphrase train loss :: 38.838
Epoch 0: SST train loss :: 766.064
Epoch 0: STS train loss :: 292.129
Epoch 0: SST train loss :: 778.854
Epoch 0: Paraphrase train loss :: 39.583
Epoch 0: STS train loss :: 294.336
Epoch 0: SST train loss :: 792.148
Epoch 0: Paraphrase train loss :: 40.319
Epoch 0: Paraphrase train loss :: 40.904
Epoch 0: STS train loss :: 296.126
Epoch 0: SST train loss :: 803.958
Epoch 0: Paraphrase train loss :: 41.573
Epoch 0: STS train loss :: 299.284
Epoch 0: SST train loss :: 816.130
Epoch 0: SST train loss :: 827.380
Epoch 0: Paraphrase train loss :: 42.282
Epoch 0: STS train loss :: 302.723
Epoch 0: STS train loss :: 304.821
Epoch 0: SST train loss :: 840.106
Epoch 0: Paraphrase train loss :: 42.911
Epoch 0: STS train loss :: 307.840
Epoch 0: Paraphrase train loss :: 43.436
Epoch 0: SST train loss :: 852.801
Epoch 0: SST train loss :: 865.013
Epoch 0: Paraphrase train loss :: 44.070
Epoch 0: STS train loss :: 312.151
Epoch 0: SST train loss :: 879.062
Epoch 0: Paraphrase train loss :: 44.689
Epoch 0: STS train loss :: 317.718
Epoch 0: STS train loss :: 319.228
Epoch 0: SST train loss :: 891.118
Epoch 0: Paraphrase train loss :: 45.208
Epoch 0: Paraphrase train loss :: 45.908
Epoch 0: STS train loss :: 322.652
Epoch 0: SST train loss :: 903.765
Epoch 0: STS train loss :: 326.982
Epoch 0: Paraphrase train loss :: 46.750
Epoch 0: SST train loss :: 915.137
Epoch 0: Paraphrase train loss :: 47.205
Epoch 0: SST train loss :: 927.251
Epoch 0: STS train loss :: 329.913
Epoch 0: Paraphrase train loss :: 47.869
Epoch 0: STS train loss :: 332.692
Epoch 0: SST train loss :: 939.154
Epoch 0: STS train loss :: 334.857
Epoch 0: Paraphrase train loss :: 48.315
Epoch 0: SST train loss :: 950.528
Epoch 0: Paraphrase train loss :: 48.887
Epoch 0: STS train loss :: 336.827
Epoch 0: SST train loss :: 962.359
Epoch 0: SST train loss :: 973.941
Epoch 0: Paraphrase train loss :: 49.432
Epoch 0: STS train loss :: 339.681
Epoch 0: SST train loss :: 986.315
